iadr,id_t,id_txi,id_txo_in,id_txo_out,input_val,oadr,output_val,,,,,,,,,,,,,,,,,,,,
14izwmuLExa5ZpDPAKbxP9jvHm6eqPazLk,113001809,449169841,876350906,876895787,0.5,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,3.55434,,,,,,,,,,,,,,,,,,,,
17H8h5QxJB6FDqgv8Ui8dB7SRDB3y86PFx,113001808,449169840,876565277,876895786,0.566907,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.0366,,,,,,,,,,,,,,,,,,,,
16qYWASbEiJDJLGukYEja5gskQuxBiiyHr,113001808,449169839,876565811,876895786,0.453,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.0366,,,,,,,,,,,,,,,,,,,,
1J32QojcH1jwyuNXW69jvidvN63WzLcxhb,113001808,449169838,876568463,876895786,0.426753,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.0366,,,,,,,,,,,,,,,,,,,,
1DPUi8UpwUMexoWEcmS6T2ZWqXXjULXxdg,113001808,449169837,876569034,876895786,0.28334,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.0366,,,,,,,,,,,,,,,,,,,,
1ExLhFosSwAkJ5bGNv5ViEg1ggJnnPggBf,113001808,449169836,876566389,876895786,0.164939,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.0366,,,,,,,,,,,,,,,,,,,,
1JKX66Jaf4M72nEBDtReiV4GSEiKvDVMuS,113001808,449169835,876566395,876895786,0.141764,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,2.0366,,,,,,,,,,,,,,,,,,,,
1A3diFTGG3pT6YX6kgAdmQZwkprixRKBKk,113001807,449169834,876365737,876895785,1.5523,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,7.72992,,,,,,,,,,,,,,,,,,,,
1LLkK3DpUuqrD33qSFrsPoL1N4pLdSD9cn,113001807,449169833,876366100,876895785,1.50309,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,7.72992,,,,,,,,,,,,,,,,,,,,
19HG1MFUbivGjrLHAvww4kP4ybHqwUUjdX,113001807,449169832,876367013,876895785,1.43494,12FNes2xBtNGJBAeVKkKeo363XxK3EcG8r,7.72992,,,,,,,,,,,,,,,,,,,,
