user,unique_sent_user,unique_sent,max_sent,min_sent,unique_sent_adr,unique_sent_tx,total_sent,unique_rec,unique_rec_tx,unique_rec_user,unique_rec_adr,max_rec,min_rec,total_rec,num_tx,is_miner,category
4905,2.0,2.0,12.4288,12.4288,2.0,1.0,12.4288,5.0,2.0,2.0,2.0,12.4288,1.88294,14.311740000000002,3.0,0,unknown
4906,2.0,2.0,0.0999,0.0999,2.0,1.0,0.0999,3.0,2.0,2.0,3.0,0.0499,0.049641,0.09954099999999999,3.0,0,unknown
4907,2.0,2.0,1.08139,1.08139,2.0,1.0,1.08139,3.0,2.0,2.0,3.0,1.03113,0.0549,1.08603,3.0,0,unknown
4908,2.0,2.0,25.9215,25.9215,2.0,1.0,25.9215,1.0,1.0,1.0,1.0,23.7352,23.7352,23.7352,2.0,0,unknown
4909,2.0,2.0,0.0199,0.00282202,2.0,1.0,0.02907394,5.0,2.0,2.0,5.0,0.0099,0.00327194,0.013171940000000002,3.0,0,unknown
4910,9.0,9.0,4.76851,4.76851,9.0,1.0,4.768510000000001,1.0,1.0,1.0,1.0,4.76851,4.76851,4.76851,2.0,0,unknown
4911,2.0,2.0,224.458,224.458,2.0,1.0,224.458,1.0,1.0,1.0,1.0,224.458,224.458,224.458,2.0,0,unknown
4912,2.0,2.0,0.082392,0.082392,2.0,1.0,0.082392,1.0,1.0,1.0,1.0,0.082392,0.082392,0.082392,2.0,0,unknown
4913,2.0,2.0,0.232496,0.232496,2.0,1.0,0.232496,2.0,2.0,2.0,2.0,0.232496,0.215031,0.447527,3.0,0,unknown
4914,2.0,2.0,0.27367,0.27367,2.0,1.0,0.27367,1.0,1.0,1.0,1.0,0.27367,0.27367,0.27367,2.0,0,unknown
4915,2.0,2.0,0.326065,0.326065,2.0,1.0,0.326065,2.0,2.0,2.0,2.0,0.326065,0.205765,0.53183,3.0,0,unknown
4916,2.0,2.0,0.755553,0.755553,2.0,1.0,0.755553,1.0,1.0,1.0,1.0,0.755553,0.755553,0.755553,2.0,0,unknown
4917,1.0,2.0,1.44802,1.44802,2.0,1.0,1.44802,1.0,1.0,1.0,1.0,1.36616,0.0815572,1.4477172,2.0,0,unknown
4918,2.0,2.0,0.0307117,0.0307117,2.0,1.0,0.0307117,1.0,1.0,1.0,1.0,0.0307117,0.0307117,0.0307117,2.0,0,unknown
4919,2.0,2.0,0.1527,0.1527,2.0,1.0,0.1527,2.0,2.0,2.0,2.0,0.1527,0.09556,0.24826,3.0,0,unknown
